Event_Title,Event_url,Place_name,Place_url,Location,event_date,Event_time
Teresa Reynolds,https://www.visitindy.com/indianapolis-teresa-reynolds-050721,The Jazz Kitchen,https://www.visitindy.com/indianapolis-the-jazz-kitchen,317-253-4900,"May 7, 2021",9:30 PM
OneAmerica 500 Festival Virtual Mini-Marathon,https://www.visitindy.com/indianapolis-indy-500-oneamerica-500-festival-mini-marathon,Downtown Indianapolis,https://www.visitindy.com/indianapolis-downtown-indianapolis,"721 Massachusetts Ave. Indianapolis, IN 46204","May 8, 2021",
Indiana Pacers vs. Washington Wizards,https://www.visitindy.com/indianapolis-indiana-pacers-vs-washington-wizards-2021-5-8,Bankers Life Fieldhouse,https://www.visitindy.com/indianapolis-bankers-life-fieldhouse,"One Bankers Life Ct. Indianapolis, IN 46204","May 8, 2021",
Doggie Yoga,https://www.visitindy.com/indianapolis-doggie-yoga,Metazoa Brewing Co.,https://www.visitindy.com/indianapolis-metazoa-brewing-co,317-522-0251,"May 8, 2021",10:00 AM
John Moreland,https://www.visitindy.com/indianapolis-john-moreland-at-hi-fi-annex-2021-5-8,HI-FI Annex,https://www.visitindy.com/indianapolis-hi-fi-annex,"1043 Virginia Ave. Indianapolis, IN 46203","May 8, 2021",
Smile Empty Soul at Hi-Fi,https://www.visitindy.com/indianapolis-smile-empty-soul-at-hi-fi-2021-5-9,HI-FI,https://www.visitindy.com/indianapolis-hi-fi,"1043 Virginia Ave. Indianapolis, IN 46203","May 9, 2021",
Fozzy at Hi-Fi,https://www.visitindy.com/indianapolis-fozzy-at-hi-fi-2021-5-10,HI-FI,https://www.visitindy.com/indianapolis-hi-fi,"1043 Virginia Ave. Indianapolis, IN 46203","May 10, 2021",
Toledo Mud Hens vs. Indianapolis Indians,https://www.visitindy.com/indianapolis-indians-051121,Victory Field located in White River State Park,https://www.visitindy.com/indianapolis-victory-field-located-in-white-river-state-park,317-269-2282,"May 11-16, 2021",
Indiana Pacers vs. Philadelphia 76ers,https://www.visitindy.com/indianapolis-indiana-pacers-vs-philadelphia-76ers-2021-5-11,Bankers Life Fieldhouse,https://www.visitindy.com/indianapolis-bankers-life-fieldhouse,"One Bankers Life Ct. Indianapolis, IN 46204","May 11, 2021",
Steve Hofstetter,https://www.visitindy.com/indianapolis-steve-hofstetter,Helium Comedy Club,https://www.visitindy.com/indianapolis-helium-comedy-club,317-349-4800,"May 12, 2021",8:00 PM
Golf 4 Kids,https://www.visitindy.com/indianapolis-golf-4-kids,Brickyard Crossing Golf Course,https://www.visitindy.com/indianapolis-brickyard-crossing,"4400 W. 16th St. Indianapolis, IN 46222","May 12, 2021",9:00 AM
The Garage Food Hall,https://www.visitindy.comhttps://www.garageindy.com,,,,,
"String Fever - Marrialle Sellars, Patrick Wright, Yadin Kol",https://www.visitindy.com/indianapolis-string-fever-051221,The Jazz Kitchen,https://www.visitindy.com/indianapolis-the-jazz-kitchen,317-253-4900,"May 12, 2021",6:30 PM
Indiana Pacers vs. Milwaukee Bucks,https://www.visitindy.com/indianapolis-indiana-pacers-vs-milwaukee-bucks-2021-5-13,Bankers Life Fieldhouse,https://www.visitindy.com/indianapolis-bankers-life-fieldhouse,"One Bankers Life Ct. Indianapolis, IN 46204","May 13, 2021",
GONDOLA RIDES,https://www.visitindy.comhttp://www.4gondola.com/,,,,,
City of Light - A Parisian-Themed 5-Course Brunch,https://www.visitindy.com/indianapolis-city-of-light-a-parisian-themed-5-course-brunch,Courses Restaurant at Ivy Tech Culinary and Conference Center,https://www.visitindy.com/indianapolis-courses-restaurant-at-ivy-tech-corporate-college-and-culinary-center,,"May 13, 2021",11:00 AM
Tour de France - A 5-Course Wine Dinner,https://www.visitindy.com/indianapolis-tour-de-france-a-5-course-wine-dinner,Courses Restaurant at Ivy Tech Culinary and Conference Center,https://www.visitindy.com/indianapolis-courses-restaurant-at-ivy-tech-corporate-college-and-culinary-center,,"May 13, 2021",5:30 PM
GMR Grand Prix,https://www.visitindy.com/indianapolis-indycar-grand-prix,Indianapolis Motor Speedway,https://www.visitindy.com/indianapolis-motor-speedway?utm_source=visitindy,"4790 W. 16th St. Indianapolis, IN 46222","May 14-15, 2021",7:30 AM
Mecum Spring Classic Car Auction,https://www.visitindy.com/indianapolis-mecum-car-auction,Indiana State Fairgrounds and Event Center,https://www.visitindy.com/indianapolis-indiana-state-fairgrounds,"1202 E. 38th St. Indianapolis, IN 46205","May 14-22, 2021",
Madame Butterfly,https://www.visitindy.com/indianapolis-madame-butterfly,Indianapolis Zoo located in White River State Park,https://www.visitindy.com/indianapolis-zoo-located-in-white-river-state-park?utm_source=visitindy,317-630-2001,"May 14-16, 2021",7:00 PM
Broad Ripple Art Fair,https://www.visitindy.com/indianapolis-broad-ripple-art-fair,Indianapolis Art Center,https://www.visitindy.com/indianapolis-art-center,"820 E. 67th St. Indianapolis, IN 46220","May 15-16, 2021",10:00 AM
Piazzolla Centenary,https://www.visitindy.com/indianapolis-piazzolla-centenary,Clowes Memorial Hall of Butler University,https://www.visitindy.com/indianapolis-clowes-memorial-hall-of-butler-university,"4602 Sunset Ave. Indianapolis, IN 46208","May 15, 2021",7:30 PM
"Indianapolis Chamber Orchestra presents, Piazzolla Centenary",https://www.visitindy.com/indianapolis-chamber-orchestra-presents-piazzolla-centenary-2021-5-15,Butler Arts Center,https://www.visitindy.com/indianapolis-butler-arts-center,"4602 Sunset Avenue Indianapolis, IN","May 15, 2021",
Piazzolla Centenary,https://www.visitindy.com/indianapolis-piazzolla-centenary-2021-5-15,Clowes Memorial Hall of Butler University,https://www.visitindy.com/indianapolis-clowes-memorial-hall-of-butler-university,"4602 Sunset Ave. Indianapolis, IN 46208","May 15, 2021",
Indiana Pacers vs. Los Angeles Lakers,https://www.visitindy.com/indianapolis-indiana-pacers-vs-los-angeles-lakers-2021-5-15,Bankers Life Fieldhouse,https://www.visitindy.com/indianapolis-bankers-life-fieldhouse,"One Bankers Life Ct. Indianapolis, IN 46204","May 15, 2021",
Locally Made,https://www.visitindy.com/indianapolis-locally-made,Indianapolis Art Center,https://www.visitindy.com/indianapolis-art-center,"820 E. 67th St. Indianapolis, IN 46220","May 15-16, 2021",12:00 PM
An Evening with Michael Feinstein with Special Guest Melissa Manchester,https://www.visitindy.com/indianapolis-feinstein-051521,The Palladium at the Center for the Performing Arts,https://www.visitindy.com/indianapolis-the-palladium-at-the-center-for-performing-arts,317-843-3800,"May 15, 2021",8:00 PM
Holes,https://www.visitindy.com/indianapolis-holes,Newfields - A Place for Nature & the Arts,https://www.visitindy.com/indianapolis-newfields-a-place-for-nature-the-arts,317-923-1331,"April 17-May 30, 2021",
Granatelli - Larger Than Life,https://www.visitindy.com/indianapolis-granatelli-larger-than-life,Indianapolis Motor Speedway Museum,https://www.visitindy.com/indianapolis-motor-speedway-hall-of-fame-museum,317-492-6784,"April 17-June 20, 2021",
Tembo Camp - A New Elephant Experience,https://www.visitindy.com/indianapolis-tembo-camp-a-new-elephant-experience,Indianapolis Zoo located in White River State Park,https://www.visitindy.com/indianapolis-zoo-located-in-white-river-state-park?utm_source=visitindy,317-630-2001,"April 17, 2021-December 31, 2023",
You Are There 1927 - Gennett Studio,https://www.visitindy.com/indianapolis-you-are-there-1927-gennett-studio,Indiana Historical Society,https://www.visitindy.com/indianapolis-indiana-historical-society?utm_source=visitindy,317-232-1882,"April 17, 2021-January 29, 2022",
The Basement in 30 Tour,https://www.visitindy.com/indianapolis-the-basement-in-30-tour,Indianapolis Motor Speedway Museum,https://www.visitindy.com/indianapolis-motor-speedway-hall-of-fame-museum,317-492-6784,"April 17, 2021-December 31, 2022",10:00 AM
The Garage Food Hall,https://www.visitindy.comhttps://www.garageindy.com,,,,,
Indy Winter Farmers Market,https://www.visitindy.com/indianapolis-indy-winter-farmers-market,Circle City Industrial Complex,https://www.visitindy.com/indianapolis-circle-city-industrial-complex,"1125 E. Brookside Ave. Indianapolis, IN 46202","April 17-24, 2021",9:00 AM
Broad Ripple Farmers' Market,https://www.visitindy.com/indianapolis-broad-ripple-farmers-market,Broad Ripple Farmers Market,https://www.visitindy.com/indianapolis-broad-ripple-farmers-market-location,"6179 N. Rural Ave. Indianapolis, IN 46220","April 17-24, 2021",9:00 AM
Illegible,https://www.visitindy.com/indianapolis-illegible,Newfields - A Place for Nature & the Arts,https://www.visitindy.com/indianapolis-newfields-a-place-for-nature-the-arts,317-923-1331,"April 17-August 22, 2021",
Hard Twist - Western Ranch Women,https://www.visitindy.com/indianapolis-hard-twist-western-ranch-women,Eiteljorg Museum of American Indians & Western Art located in White River State Park,https://www.visitindy.com/indianapolis-eiteljorg-museum-of-american-indians-western-art-located-in-white-river-state-park?utm_source=visitindy,317-636-9378,"April 17-25, 2021",
ISO @ Home,https://www.visitindy.com/indianapolis-iso-home,,,,"April 17-December 31, 2021",
Music Livestreams,https://www.visitindy.com/indianapolis-music-livestreams,,,,"April 17-December 31, 2021",
State of Nature - Picturing Indiana Biodiversity,https://www.visitindy.com/indianapolis-state-of-nature-picturing-indiana-biodiversity,Indiana State Museum located in White River State Park,https://www.visitindy.com/indianapolis-indiana-state-museum-located-in-white-river-state-park?utm_source=visitindy,317-232-1637,"April 17-September 19, 2021",
Global Gifts – Fair Trade Gifts since 1988,https://www.visitindy.comhttps://www.globalgiftsft.com/,,,,,
SUE Meets Bucky,https://www.visitindy.com/indianapolis-sue-meets-bucky,The Children's Museum of Indianapolis,https://www.visitindy.com/indianapolis-the-childrens-museum-of-indianapolis?utm_source=visitindy,,"April 17-July 25, 2021",
You Are There 1920 - Celebrate Indianapolis,https://www.visitindy.com/indianapolis-you-are-there-1920-celebrate-indianapolis,Indiana Historical Society,https://www.visitindy.com/indianapolis-indiana-historical-society?utm_source=visitindy,"450 W. Ohio St. Eugene and Marilyn Glick Indiana History Center, Indianapolis, IN 46202","April 17, 2021-April 2, 2022",
"You Are There 1915 - Madam C.J. Walker, Empowering Women",https://www.visitindy.com/indianapolis-you-are-there-1915-madam-c-j-walker-empowering-women,Indiana Historical Society,https://www.visitindy.com/indianapolis-indiana-historical-society?utm_source=visitindy,317-232-1882,"April 17, 2021-April 2, 2022",
Cyrano,https://www.visitindy.com/indianapolis-cyrano,Indiana Repertory Theatre,https://www.visitindy.com/indianapolis-indiana-repertory-theatre,317-635-5252,"April 17-May 9, 2021",
Drive-In Movies,https://www.visitindy.com/indianapolis-drive-in-movies,Tibbs Drive-In Theatre,https://www.visitindy.com/indianapolis-tibbs-drive-in-theatre,317-243-6666,"April 17-October 31, 2021",
Virtual First Friday Gallery Opening,https://www.visitindy.com/indianapolis-virtual-first-friday-gallery-opening,Harrison Center,https://www.visitindy.com/indianapolis-harrison-center-for-the-arts,317-396-3886,"April 17-30, 2021",
DC Super Heroes™ - Discover Your Superpowers,https://www.visitindy.com/indianapolis-dc-super-heroes-discover-your-superpowers,The Children's Museum of Indianapolis,https://www.visitindy.com/indianapolis-the-childrens-museum-of-indianapolis?utm_source=visitindy,,"April 17-September 26, 2021",
Hang Out With Cats at Cat Lounge,https://www.visitindy.com/indianapolis-hang-out-with-cats-at-cat-lounge,Nine Lives Cat Cafe,https://www.visitindy.com/indianapolis-nine-lives-cat-cafe,"1315 Shelby St. Indianapolis, IN 46203","April 17-December 31, 2021",
Butterfly Kaleidoscope,https://www.visitindy.com/indianapolis-butterfly-kaleidoscope-zoo,Indianapolis Zoo located in White River State Park,https://www.visitindy.com/indianapolis-zoo-located-in-white-river-state-park?utm_source=visitindy,"1200 W. Washington St. Indianapolis, IN 46222","April 17-September 6, 2021",
Mind Tripping Show - A Comedy with a Psychological Twist,https://www.visitindy.com/indianapolis-mind-tripping?utm_source=visitindy&utm_medium=website&utm_campaign=vi,Hilton Indianapolis Hotel & Suites,https://www.visitindy.com/indianapolis-hilton-indianapolis-hotel-suites,"120 W. Market St. Indianapolis, IN 46204","April 17, 2021-December 31, 2022",8:00 PM
The Garage Food Hall,https://www.visitindy.comhttps://www.garageindy.com,,,,,
Spring Blooms,https://www.visitindy.com/indianapolis-spring-blooms-ima,Newfields - A Place for Nature & the Arts,https://www.visitindy.com/indianapolis-newfields-a-place-for-nature-the-arts,317-923-1331,"April 17-May 9, 2021",
Indiana Artists Club Annual Juried Exhibition,https://www.visitindy.com/indianapolis-indiana-artists-club-annual-juried-exhibition,Newfields - A Place for Nature & the Arts,https://www.visitindy.com/indianapolis-newfields-a-place-for-nature-the-arts,317-923-1331,"April 17-May 29, 2021",
Bookmark Indy,https://www.visitindy.com/indianapolis-bookmark-indy,Various Locations,https://www.visitindy.com/indianapolis-various-locations,,"April 17-December 31, 2021",
Powerful Women - Contemporary Art from the Eiteljorg Collection,https://www.visitindy.com/indianapolis-powerful-women-contemporary-art-from-the-eiteljorg-collection-2ndrotation,Eiteljorg Museum of American Indians & Western Art located in White River State Park,https://www.visitindy.com/indianapolis-eiteljorg-museum-of-american-indians-western-art-located-in-white-river-state-park?utm_source=visitindy,317-636-9378,"April 18-October 3, 2021",
Culinary Crossroads 2021 Spring Dinner Series,https://www.visitindy.com/indianapolis-culinary-crossroads-2021-spring-dinner-series,Highland Golf & Country Club,https://www.visitindy.com/indianapolis-highland-golf-country-club,"1050 52nd St. Indianapolis, IN 46228","April 21-May 12, 2021",6:00 PM
The Shed - Hosted by Kenny Phelps,https://www.visitindy.com/indianapolis-the-shed-hosted-by-kenny-phelps-042121,The Jazz Kitchen,https://www.visitindy.com/indianapolis-the-jazz-kitchen,"5377 N. College Ave. Indianapolis, IN 46220","April 21, 2021",9:00 PM
Indianapolis Home Show,https://www.visitindy.com/indianapolis-home-show,Indiana State Fairgrounds and Event Center,https://www.visitindy.com/indianapolis-indiana-state-fairgrounds,"1202 E. 38th St. Indianapolis, IN 46205","April 23-May 1, 2021",
First Friday,https://www.visitindy.com/indianapolis-first-friday-the-block,The Block Bistro & Grill,https://www.visitindy.com/indianapolis-the-block-bistro-grill,"115 W. Market St. Indianapolis, IN 46204","April 23-December 31, 2021",10:00 PM
Sundays at the Basile,https://www.visitindy.com/indianapolis-sundays-at-the-basile,Basile Opera Center,https://www.visitindy.com/indianapolis-basile-opera-center,"4011 N. Pennsylvania St. Indianapolis, IN 46205","April 25-December 26, 2021",3:00 PM
The Shed - Hosted by Kenny Phelps,https://www.visitindy.com/indianapolis-the-shed-hosted-by-kenny-phelps-042821,The Jazz Kitchen,https://www.visitindy.com/indianapolis-the-jazz-kitchen,"5377 N. College Ave. Indianapolis, IN 46220","April 28, 2021",9:00 PM
Indianapolis City Market Catacombs Tours,https://www.visitindy.com/indianapolis-city-market-catacombs-tour,Indianapolis City Market,https://www.visitindy.com/indianapolis-city-market,"222 E. Market St. Indianapolis, IN 46204","May 1-October 30, 2021",
Dawn Cooper - The Color of Gratitude,https://www.visitindy.com/indianapolis-dawn-cooper-the-color-of-gratitude,Full Circle Nine (FC9) Gallery,https://www.visitindy.com/indianapolis-full-circle-nine-gallery,317-672-7253,"May 1-31, 2021",
The Market in McCordsville,https://www.visitindy.com/indianapolis-the-market-in-mccordsville,Scarlet Lane Brewing Company - McCordsville,https://www.visitindy.com/indianapolis-scarlet-lane-brewing-company,"7724 Depot St. McCordsville, IN 46055","May 2-September 2, 2021",12:00 PM
Urban Farmers Market,https://www.visitindy.com/indianapolis-urban-farmers-market,White River State Park,https://www.visitindy.com/indianapolis-white-river-state-park?utm_source=visitindy,"801 W. Washington St. Indianapolis, IN 46204","May 2-June 20, 2021",9:30 AM
Shining A Light on Monument Circle,https://www.visitindy.comhttps://shiningalightindy.squarespace.com/,,,,,
Intro to Stand-Up Comedy,https://www.visitindy.com/indianapolis-intro-to-stand-up-comedy,The Studio Theater at the Center for the Performing Arts,https://www.visitindy.com/indianapolis-the-studio-theater-at-the-center-for-the-performing-arts,317-843-3800,"May 3-24, 2021",6:00 PM
Original Farmer’s Market,https://www.visitindy.com/indianapolis-original-farmer-s-market,Indianapolis City Market,https://www.visitindy.com/indianapolis-city-market,"222 E. Market St. Indianapolis, IN 46204","May 5-October 27, 2021",
Mrs. Harrison,https://www.visitindy.com/indianapolis-mrs-harrison,Indiana Repertory Theatre,https://www.visitindy.com/indianapolis-indiana-repertory-theatre,317-635-5252,"May 6-23, 2021",
Fountain Square Follies,https://www.visitindy.com/indianapolis-fountain-square-follies,Fountain Square Theatre Building,https://www.visitindy.com/indianapolis-fountain-square-theatre-building,"1111 Prospect St. Ste. 204, Indianapolis, IN 46203","May 7-December 17, 2021",8:30 PM
Apologies to Lorraine Hansberry,https://www.visitindy.com/indianapolis-apologies-to-lorraine-hansberry,Fonseca Theatre Company at River West,https://www.visitindy.com/indianapolis-fonseca-theatre-company-at-river-west,317-653-1519,"May 7-23, 2021",
The Figurative Surrealism of Carlos Gamez de Francisco,https://www.visitindy.com/indianapolis-the-figurative-surrealism-of-carlos-gamez-de-francisco,CV Art and Frame,https://www.visitindy.com/indianapolis-corner-vise-gallery-frame-shop,"110 S. Main St. Zionsville, IN 46077","May 15-29, 2021",12:00 PM
Authentic Farm-To-Table Dining,https://www.visitindy.comhttps://www.traderspointcreamery.com/,,,,,
A Comedy with a Psychological Twist,https://www.visitindy.comhttps://mindtrippingshow.com/?VIsponsor,,,,,
Eiteljorg Museum,https://www.visitindy.comhttps://eiteljorg.org/,,,,,
Authentic Farm-To-Table Dining,https://www.visitindy.comhttps://www.traderspointcreamery.com/,,,,,
Global Gifts – Fair Trade Gifts since 1988,https://www.visitindy.comhttps://www.globalgiftsft.com/,,,,,
Authentic Farm-To-Table Dining,https://www.visitindy.comhttps://www.traderspointcreamery.com/,,,,,
Shining A Light on Monument Circle,https://www.visitindy.comhttps://shiningalightindy.squarespace.com/,,,,,
The Garage Food Hall,https://www.visitindy.comhttps://www.garageindy.com,,,,,
Eiteljorg Museum,https://www.visitindy.comhttps://eiteljorg.org/,,,,,
GONDOLA RIDES,https://www.visitindy.comhttp://www.4gondola.com/,,,,,
Shining A Light on Monument Circle,https://www.visitindy.comhttps://shiningalightindy.squarespace.com/,,,,,
Eiteljorg Museum,https://www.visitindy.comhttps://eiteljorg.org/,,,,,
The Garage Food Hall,https://www.visitindy.comhttps://www.garageindy.com,,,,,
The Garage Food Hall,https://www.visitindy.comhttps://www.garageindy.com,,,,,
Shining A Light on Monument Circle,https://www.visitindy.comhttps://shiningalightindy.squarespace.com/,,,,,
Authentic Farm-To-Table Dining,https://www.visitindy.comhttps://www.traderspointcreamery.com/,,,,,
A Comedy with a Psychological Twist,https://www.visitindy.comhttps://mindtrippingshow.com/?VIsponsor,,,,,
Authentic Farm-To-Table Dining,https://www.visitindy.comhttps://www.traderspointcreamery.com/,,,,,
Global Gifts – Fair Trade Gifts since 1988,https://www.visitindy.comhttps://www.globalgiftsft.com/,,,,,
The Garage Food Hall,https://www.visitindy.comhttps://www.garageindy.com,,,,,
GONDOLA RIDES,https://www.visitindy.comhttp://www.4gondola.com/,,,,,
Shining A Light on Monument Circle,https://www.visitindy.comhttps://shiningalightindy.squarespace.com/,,,,,
GONDOLA RIDES,https://www.visitindy.comhttp://www.4gondola.com/,,,,,
Shining A Light on Monument Circle,https://www.visitindy.comhttps://shiningalightindy.squarespace.com/,,,,,
A Comedy with a Psychological Twist,https://www.visitindy.comhttps://mindtrippingshow.com/?VIsponsor,,,,,
Authentic Farm-To-Table Dining,https://www.visitindy.comhttps://www.traderspointcreamery.com/,,,,,
Eiteljorg Museum,https://www.visitindy.comhttps://eiteljorg.org/,,,,,
